event_ts,sample_index,time_ms,v1,v2,v3
2026-04-30T09:10:26.328Z,0,0.0,-107851.91307067871,3284.4387435913086,100353.09463119507
2026-04-30T09:10:26.328Z,1,0.625,-94232.33472824097,-19290.556816101074,109132.41466140747
2026-04-30T09:10:26.328Z,2,1.25,-80213.85660171509,-42606.65071487427,118367.80326461792
2026-04-30T09:10:26.328Z,3,1.875,-56165.89818954468,-65922.74461364746,117455.66611862183
2026-04-30T09:10:26.328Z,4,2.5,-35651.05215072632,-82796.98371887207,113579.08324813843
2026-04-30T09:10:26.328Z,5,3.125,-13882.521076202393,-97903.98832321167,107137.11465454102
2026-04-30T09:10:26.328Z,6,3.75,8911.752300262451,-110331.63739395142,96419.50318908691
2026-04-30T09:10:26.328Z,7,4.375,31706.025676727295,-118027.65860748291,81654.28313827515
2026-04-30T09:10:26.328Z,8,5.0,53873.456535339355,-122645.2713356018,62841.45450210571
2026-04-30T09:10:26.328Z,9,5.625,74445.28825759888,-117115.53757476807,38042.725845336914
2026-04-30T09:10:26.328Z,10,6.25,88691.7091178894,-112668.9475402832,18773.828636169434
2026-04-30T09:10:26.328Z,11,6.875,103109.08702850342,-103547.73721313477,-5226.780017852783
2026-04-30T09:10:26.328Z,12,7.5,112169.8106956482,-89067.81581878662,-27346.105808258057
2026-04-30T09:10:26.328Z,13,8.125,118324.2645072937,-74245.84903717041,-49921.50017166138
2026-04-30T09:10:26.328Z,14,8.75,116272.77990341187,-48535.43742752075,-72325.86882019043
2026-04-30T09:10:26.328Z,15,9.375,111144.06839370728,-28183.7368850708,-88288.26887512207
2026-04-30T09:10:26.328Z,16,10.0,104248.80069732666,-4981.658115386963,-104250.66893005371
2026-04-30T09:10:26.328Z,17,10.625,90458.26530456543,18334.43578338623,-114056.14324951172
2026-04-30T09:10:26.328Z,18,11.25,76268.83012771606,40225.34056854248,-121923.32613372803
2026-04-30T09:10:26.328Z,19,11.875,52847.71423339844,64282.532806396484,-122151.36042022705
2026-04-30T09:10:26.328Z,20,12.5,31364.111576080322,80301.65844345093,-117476.65754699707
2026-04-30T09:10:26.328Z,21,13.125,9481.609134674072,96377.79164505005,-112402.8946723938
2026-04-30T09:10:26.328Z,22,13.75,-12856.778774261475,108178.35750579834,-100146.05177307129
2026-04-30T09:10:26.328Z,23,14.375,-35594.066467285156,116045.40141296387,-86235.96029663086
2026-04-30T09:10:26.328Z,24,15.0,-58046.42574310303,120663.01414108276,-67081.08023071289
2026-04-30T09:10:26.328Z,25,15.625,-78219.35768127441,115190.2879447937,-41712.26585769653
2026-04-30T09:10:26.328Z,26,16.25,-92750.70695877075,110572.6752166748,-22899.4372215271
2026-04-30T09:10:26.328Z,27,16.875,-107225.07055282593,101451.46488952637,1158.180004119873
2026-04-30T09:10:26.328Z,28,17.5,-115886.89443588257,87256.58131790161,23163.488651275635
2026-04-30T09:10:26.328Z,29,18.125,-122212.30529785156,71294.46324539185,45909.90872955322
2026-04-30T09:10:26.328Z,30,18.75,-120388.76342773438,45641.059200286865,68827.35452270508
2026-04-30T09:10:26.328Z,31,19.375,-114690.19508361816,27284.623416900635,83250.52314376831
2026-04-30T09:10:26.328Z,32,20.0,-107794.92738723755,3056.4084854125977,100581.12891769409
