eqNumber;garduInduk;merk;serialId;techidentno;id;bay;phasa;tipe;jenisAsset;status
TRS000000000492042;GI 150KV TAMBUN;SIEMENS;K35013605;14314211911900000034;ac7bb703-55b0-43ac-9de9-0f0b25f3ed6f;TRF#2 150/20KV;RST;3AQ1EG;Circuit Breaker;PLN_OPERASI
TRS000000000489241;GI 150KV TAMBUN;UNINDO;A9615189-04;11314211911900000001;d55d2d53-5657-4323-a625-7662e5883e5a;TRF#2 150/20KV;RST;TTHRV;Power Transformer;PLN_OPERASI
TRS000000000494002;GI 150KV TAMBUN;ABB;75275420;16314211911900000032;8862a510-f379-4a03-8923-0510f11d5d6b;TRF#2 150/20KV;R;PEXLIM Q132-YV170;Lightning Arrester;PLN_OPERASI
TRS000000000493999;GI 150KV TAMBUN;ABB;75275422;16314211911900000027;ff89d015-7691-4f23-84bd-3b73e00ae141;TRF#2 150/20KV;T;PEXLIM Q132-YV170;Lightning Arrester;PLN_OPERASI
TRS000000000493996;GI 150KV TAMBUN;ABB;75275421;16314211911900000013;84d45628-3de9-4c40-a200-87ead096c483;TRF#2 150/20KV;S;PEXLIM Q132-YV170;Lightning Arrester;PLN_OPERASI
-;GI 150KV TAMBUN;HITACHI;1001010747-001A/B/C;14351811911900000117;5c42b17a-7837-40c9-a170-a59bc6e02e0c;PHT 150KV NEW TAMBUN#2;RST;LTB170D1/1P;Circuit Breaker;PLN_OPERASI
TRS000000000493997;GI 150KV TAMBUN;ALSTOM;3942550;16314211911900000024;09495f12-68a6-45a0-a353-b5891a033161;PHT 150KV NEW TAMBUN#2;S;PSC 150 Y;Lightning Arrester;PLN_OPERASI
TRS000000000493994;GI 150KV TAMBUN;ALSTOM;3942551;16314211911900000006;3755c3d2-d412-469b-bc29-0f3ad5d4de2d;PHT 150KV NEW TAMBUN#2;T;PSC 150 Y;Lightning Arrester;PLN_OPERASI
TRS000000000493998;GI 150KV TAMBUN;ALSTOM;3942549;16314211911900000025;0e14b0ce-b617-4ed7-a10e-9d6a1b1eabd5;PHT 150KV NEW TAMBUN#2;R;PSC 150 Y;Lightning Arrester;PLN_OPERASI
TRS000000000493782;GI 150KV TAMBUN;ALSTOM;3942543;16314211911900000019;8c67e534-8418-4d9e-8104-f0f48feeddd7;PHT 150KV GANDAMEKAR#1;R;PSC 150 Y;Lightning Arrester;PLN_TIDAK_OPERASI
TRS000000000493784;GI 150KV TAMBUN;ALSTOM;3942544;16314211911900000021;208c45ef-9fc4-40e2-b5cb-ab9ca9674961;PHT 150KV GANDAMEKAR#1;S;PSC 150 Y;Lightning Arrester;PLN_OPERASI
TRS000000000493783;GI 150KV TAMBUN;ALSTOM;3942545;16314211911900000020;90c86ad2-fcf6-410a-a9d1-a778f628792c;PHT 150KV GANDAMEKAR#1;T;PSC 150 Y;Lightning Arrester;PLN_OPERASI
-;GI 150KV TAMBUN;ALSTHOM;12313036006;14351811911900000114;4c496189-710d-4775-b1be-47510d32d3b0;PHT 150KV GANDAMEKAR#1;RST;GL 313 F1;Circuit Breaker;PLN_OPERASI
-;GI 150KV TAMBUN;SIEMENS ENERGY;URG/25120794;16351811911900000044;c821cb40-135a-48ed-a274-0a72c5c0426d;PHT 150KV GANDAMEKAR#1;R;3EL2 132-6PP42-4TA1-Z;Lightning Arrester;PLN_OPERASI
-;GI 150KV TAMBUN;SIEMENS ENERGY;URG/25120791;16351811911900000042;6ba3c969-421b-4fa7-a682-1bad3abe12d1;PHT 150KV GANDAMEKAR#2;S;3EL2 132-6PP42-4TA1-Z;Lightning Arrester;PLN_OPERASI
-;GI 150KV TAMBUN;SIEMENS;K40046534;14351811911900000005;1d1b007b-8d9d-4bf3-b326-c93209814aeb;PHT 150KV GANDAMEKAR#2;RST;3AP1 FI;Circuit Breaker;PLN_OPERASI
-;GI 150KV TAMBUN;SIEMENS ENERGY;URG/25120792;16351811911900000043;bc938369-6b94-4315-a324-4672d6124bf8;PHT 150KV GANDAMEKAR#2;T;3EL2 132-6PP42-4TA1-Z;Lightning Arrester;PLN_OPERASI
TRS000000000493781;GI 150KV TAMBUN;ALSTOM;1620100617;16314211911900000009;ea10dec2-0364-4e3a-9119-a74ba7bb76cc;PHT 150KV GANDAMEKAR#2;T;PSC 150 Y;Lightning Arrester;PLN_TIDAK_OPERASI
TRS000000000493785;GI 150KV TAMBUN;ALSTOM;1620100616;16314211911900000022;b444b8c3-f88c-4c86-a4db-0fc185cc3fc2;PHT 150KV GANDAMEKAR#2;S;PSC 150 Y;Lightning Arrester;PLN_TIDAK_OPERASI
TRS000000000493786;GI 150KV TAMBUN;ALSTOM;1620100615;16314211911900000023;c2c31e92-4a77-460f-a54e-6215063f1e53;PHT 150KV GANDAMEKAR#2;R;PSC 150 Y;Lightning Arrester;PLN_OPERASI
TRS000000000638645;GI 150KV TAMBUN;ALCATEL CABLE;TMBUN1;DG314211911900000001;029e42bf-9162-4765-b229-a2f889010892;TRF#1 150/20KV (INC);RST;NA2XSY;Underground Cable 20kV;PLN_OPERASI
-;GI 150KV TAMBUN;SCHNEIDER ELECTRIC;2002921958-10-002;14351811911900000006;692eac41-ba23-4bb3-b962-29e6381bc65f;TRF#1 150/20KV (INC);RST;HVX24-25-25E254;Circuit Breaker;PLN_OPERASI
TRS000000000492178;GI 150KV TAMBUN;METAL DEPLOYE S.A.;NO DATA;29314211911900000001;f23b2c34-58ad-4324-aa65-56d05cf6d848;TRF#1 150/20KV (INC);N;NO DATA;Neutral Grounding Resistance;PLN_OPERASI
-;GI 150KV TAMBUN;ABB;17502008;14351811911900000115;a136d44a-9c43-43b2-88c6-b43bbd51adba;KOPEL BUS 150KV;RST;LTB245E1;Circuit Breaker;PLN_OPERASI
-;GI 150KV TAMBUN;SIEMENS;S 31618532;14351811911900000002;252cdc35-7b7b-4df4-9590-5c3ab260779f;TRF#2 150/20KV (INC);RST;3AH1264-4;Circuit Breaker;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;RITZ;16/1009060237115;13351855555500000066;48e0cc6a-a34f-4fcf-bbed-e346a2b4f679;TRF#2 150/22KV (INC);T;GIS24-06;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;RITZ;16/1009060237113;13351855555500000064;c016549e-ae5d-4720-9d60-4cdf8d1d3b47;TRF#2 150/22KV (INC);R;GIS24-06;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;RITZ;16/1009060237114;13351855555500000065;2691164a-e3a2-4671-995c-a6ce60116ce1;TRF#2 150/22KV (INC);S;GIS24-06;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;3AH52/00028238;14351855555500000038;ce0314ff-f023-481e-b271-40f626916173;TRF#2 150/22KV (INC);RST;3AH5284-6;Circuit Breaker;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1609000625;CN351855555500000004;82a30f34-8208-42b6-85d7-271d863e132e;TRF#2 150/22KV (INC);N;7SJ82;Stand By Earth Fault;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;GF1705504462;54351855555500000013;c71683cf-9d0c-4101-b4e2-41bac71ea569;TRF#2 150/22KV (INC);RST;7SR22;Over Current Relay;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;GF1705504461;54351855555500000011;619721e7-b627-4081-a02c-855b0d0ffeea;TRF#1 150/22KV (INC);RST;7SR22;Over Current Relay;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1609000626;CN351855555500000003;9df2a476-4cdf-4313-81d7-e375d2073147;TRF#1 150/22KV (INC);N;7SJ82;Stand By Earth Fault;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;RITZ;16/1009060237112;13351855555500000063;274a5d1b-067b-4dff-8400-c651cb768787;TRF#1 150/22KV (INC);T;GIS24-06;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;RITZ;16/1009060237110;13351855555500000061;daab8fbf-5152-4e23-b69b-6449a36efd27;TRF#1 150/22KV (INC);R;GIS24-06;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;RITZ;16/1009060237111;13351855555500000062;f08d52e4-45af-4de6-8dd5-990d9ee8253c;TRF#1 150/22KV (INC);S;GIS24-06;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;3AH52/00028236;14351855555500000037;c38622c8-226f-4338-8517-4b3a49a94956;TRF#1 150/22KV (INC);RST;3AH5284-6;Circuit Breaker;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1702004164;TO351855555500000008;76ca3b68-ba00-4f27-a8f9-f09bdef40f25;KOPEL BUS#2 150KV;RST;7VK87;CB Failure (50 BF)+Short Zone Protection (51 SZP);PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1611006412;TJ351855555500000004;c4b00932-d531-4646-9fda-667ff9572589;KOPEL BUS#2 150KV;RST;6MD85;Busbar Differential (87B);PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;K 31 270 496 R;14351855555500000010;32c1de9a-e454-4f0e-8612-690b0bcb25c8;KOPEL BUS#2 150KV;RST;8DN9;Circuit Breaker;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1704001377;TJ351855555500000003;8fbc0413-aeef-42c7-87aa-ffbd6c89ffd5;KOPEL BUS#2 150KV;RST;7SS85;Busbar Differential (87B);PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31270;13351855555500000031;389abe0c-1446-441a-a1d8-df085af0b983;KOPEL BUS#2 150KV;R;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31269;13351855555500000032;ac22938f-23e4-4a8c-a752-3d9f7630c0fb;KOPEL BUS#2 150KV;S;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31268;13351855555500000033;5be9434d-48a5-4819-bdbc-6bfb87afb79f;KOPEL BUS#2 150KV;T;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31281;13351855555500000035;3f585529-854a-4e68-a876-bb5cadef0d84;KOPEL BUS#2 150KV;S;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31282;13351855555500000036;b8822ddd-7cb9-417c-b6be-53ca211bac04;KOPEL BUS#2 150KV;T;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31280;13351855555500000034;013f8f36-ed75-4764-8ad5-b2d7fb529a97;KOPEL BUS#2 150KV;R;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1609000356;54351855555500000007;026673d9-51eb-402e-9b3e-49e64ea5d1ad;KOPEL BUS#2 150KV;RST;7SJ82;Over Current Relay;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31254;13351855555500000053;6afe27ab-2466-4e0f-9246-963611040c7d;IBT#2 500/150KV (LV);S;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31255;13351855555500000052;2eec5424-455e-4d7e-bbc7-3e290c6fdf43;IBT#2 500/150KV (LV);R;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31253;13351855555500000054;28a382ea-155c-4a8a-ad08-43ae4bc96752;IBT#2 500/150KV (LV);T;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1707008573;54351855555500000001;98f48448-63ae-4bab-9e78-d03764328547;IBT#2 500/150KV (LV);RST;7SJ82;Over Current Relay;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;K 31 270 490 R;14351855555500000034;01be2119-3fca-44ec-a57e-3320a47570d1;IBT#2 500/150KV (LV);RST;8DN9;Circuit Breaker;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;ESITAS;2017/P16974;13351855555500000068;e40aa985-4de5-44e9-bfc2-bd1d6a512d82;IBT#2 500/150KV (LV);N;KATH;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1707007766;TO351855555500000004;b2e58577-ae73-446f-8086-59607f32ce8d;IBT#2 500/150KV (LV);RST;7VK87;CB Failure (50 BF)+Short Zone Protection (51 SZP);PLN_OPERASI
-;GIS 150KV NEW TAMBUN;HILKAR;56280417;13351855555500000070;166947c2-142a-4537-8ad6-60bb4fdcd12a;TRF#2 150/22KV;N;NO DATA;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31212;13351855555500000059;2a3746a8-b3e5-4251-b9b4-e330cc9567f5;TRF#2 150/22KV;S;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31211;13351855555500000060;a79bf244-6035-48ab-a793-266629826089;TRF#2 150/22KV;T;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31213;13351855555500000058;49e48827-6450-4bf3-8801-c8340bffb4ca;TRF#2 150/22KV;R;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1609000514;54351855555500000012;45dce78a-7982-471d-a35f-b5d67b08f2d7;TRF#2 150/22KV;RST;7SJ82;Over Current Relay;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;ESITAS;2017/18252;13351855555500000071;c31c0531-de2a-4530-b135-f29a6bbf7670;TRF#2 150/22KV;N;ATB 20-B2;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;MR;1797560;94351855555500000002;946ac5b5-e7bb-4888-a7ad-b65df63bdf64;TRF#2 150/22KV;RST;TAPCON;Automatic Voltage Regulator Relay;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1609001203;TO351855555500000012;85771a9c-7524-4f2e-a266-903e4b58a720;TRF#2 150/22KV;RST;7VK87;CB Failure (50 BF)+Short Zone Protection (51 SZP);PLN_OPERASI
-;GIS 150KV NEW TAMBUN;CG PAUWELS;3011160161;11351455555500000002;a6114e71-0c1e-43e5-8d9a-0a968ff88f0d;TRF#2 150/22KV;RST;ORF.60/275;Power Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;K 31 270 488 R;14351855555500000002;78085a16-e831-49b2-b200-40322ed5f6cb;TRF#2 150/22KV;RST;8DN9;Circuit Breaker;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;ESITAS;2017/P11997;13351855555500000069;6369290c-c09c-4f44-90b6-ade340215ea0;TRF#2 150/22KV;N;KATH;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BF1609502468;TM351855555500000004;ad06dee5-a13a-4e5d-9f87-1e1f68eeacb0;TRF#2 150/22KV;RST;7UT63;Transformer Differential + REF (87T+64REF);PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31265;13351855555500000045;9b5c5d36-f231-41ff-850c-c8289f5e3533;BUS SECTION#2 150KV;T;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31266;13351855555500000043;473f7097-feb8-4876-b95b-97b95c046f07;BUS SECTION#2 150KV;R;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31267;13351855555500000044;341fb845-d326-4b41-9dc3-5666e5d50ca6;BUS SECTION#2 150KV;S;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;K 31 270 487 R;14351855555500000008;35d1455b-f89a-4332-a52a-92d70ed1d2e3;BUS SECTION#2 150KV;RST;8DN9;Circuit Breaker;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31278;13351855555500000048;522ddb65-fdad-477e-8cc9-6e4f94e42963;BUS SECTION#2 150KV;T;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31277;13351855555500000047;60c3e916-7d8f-4a69-9334-b0e2cc4ea8cb;BUS SECTION#2 150KV;S;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31279;13351855555500000046;d8541b25-9beb-4fad-889f-4f2a421b549b;BUS SECTION#2 150KV;R;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1702004161;TO351855555500000002;fe8d9b62-eb4f-4421-821c-c3970de96d12;BUS SECTION#2 150KV;RST;7VK87;CB Failure (50 BF)+Short Zone Protection (51 SZP);PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1609000355;54351855555500000003;e4daeaa4-dae8-4137-86db-6e5a19264111;BUS SECTION#2 150KV;RST;7SJ82;Over Current Relay;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;K 31 270 486 R;14351855555500000007;fb9c9576-bdf8-4403-8267-8fae54336f19;BUS SECTION#1 150KV;RST;8DN9;Circuit Breaker;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31264;13351855555500000037;85905a19-ce86-4487-a00e-85c321fd913b;BUS SECTION#1 150KV;R;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31262;13351855555500000039;ddcbe030-07c7-4601-8a22-1e6a61c8a9c8;BUS SECTION#1 150KV;T;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31263;13351855555500000038;1dcb05f2-efa9-4da0-be9e-18c86bf94071;BUS SECTION#1 150KV;S;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31276;13351855555500000040;e61cd545-0c7e-4e6e-93c9-37fbcc8a4b10;BUS SECTION#1 150KV;R;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31274;13351855555500000042;941ea7d9-859b-46bb-bb3e-7e5166686d37;BUS SECTION#1 150KV;T;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31275;13351855555500000041;3b37a66f-7fc1-4313-8e9a-87c86fbfffc3;BUS SECTION#1 150KV;S;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1609000354;54351855555500000002;b6d2313c-c806-4a2a-81b0-c387f8925ec2;BUS SECTION#1 150KV;RST;7SJ82;Over Current Relay;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1609001218;TO351855555500000001;d6a53df9-8864-437d-88c0-d1529409e08e;BUS SECTION#1 150KV;RST;7VK87;CB Failure (50 BF)+Short Zone Protection (51 SZP);PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1608008121;54351855555500000008;0c622c9e-0889-4934-89c6-de26fb9b9840;PHT 150KV TAMBUN#1;RST;7SJ82;Over Current Relay;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1702004768;TR351855555500000003;f66c9f3b-e4af-494c-9219-4c60c0b03d37;PHT 150KV TAMBUN#1;RST;7SL87;Line Current Differential (87L) + Distance (21) + Autorecloser (79);PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31233;13351855555500000014;860d4b23-7c0d-4e9b-b99a-fba3c108c3a8;PHT 150KV TAMBUN#1;S;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31232;13351855555500000015;c7a6e0f9-ae59-4df4-97c7-7e3ff7aec764;PHT 150KV TAMBUN#1;T;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31234;13351855555500000013;6dcae3b7-bafc-42a0-81cf-00807b72496c;PHT 150KV TAMBUN#1;R;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1609001188;TO351855555500000009;d3e75a25-467c-46c8-a2b0-0fa63527e895;PHT 150KV TAMBUN#1;RST;7VK87;CB Failure (50 BF)+Short Zone Protection (51 SZP);PLN_OPERASI
-;GIS 150KV NEW TAMBUN;TRENCH;1700626;13351855555500000017;aa98e122-fb6b-4fcf-9689-14f5774c1887;PHT 150KV TAMBUN#1;S;IOSK 170;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;TRENCH;1700627;13351855555500000016;7a9e1165-1cb3-4ace-8219-f7b279e7a6c5;PHT 150KV TAMBUN#1;R;IOSK 170;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;TRENCH;1700625;13351855555500000018;27220cd6-eebd-49bf-9f78-756373a51309;PHT 150KV TAMBUN#1;T;IOSK 170;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;K 31 270 484 R;14351855555500000003;4ee4d07a-799b-4e13-b78f-1fe95005f2aa;PHT 150KV TAMBUN#1;RST;8DN9;Circuit Breaker;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1707008604;CT351855555500000003;f5afcf4b-d29d-4001-be7d-5258dd858ea6;PHT 150KV TAMBUN#1;RST;7UT86;Circulating Current Protection Relay;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1608008120;54351855555500000009;0515b3d0-d494-4cf8-ae0d-b86125d4d445;PHT 150KV TAMBUN#2;RST;7SJ82;Over Current Relay;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1609001185;TO351855555500000010;8be0ddf0-5de5-4a8f-94f7-522eae253d00;PHT 150KV TAMBUN#2;RST;7VK87;CB Failure (50 BF)+Short Zone Protection (51 SZP);PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;K 31 270 483 R;14351855555500000004;42374d87-dbba-4203-9a79-f2cddd939367;PHT 150KV TAMBUN#2;RST;8DN9;Circuit Breaker;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1707008610;CT351855555500000004;9d1481c4-abdd-41b8-8e84-7cb037788ec1;PHT 150KV TAMBUN#2;RST;7UT86;Circulating Current Protection Relay;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1702004765;TR351855555500000004;f1be86bc-3db7-4e84-a97c-61a92477b7e8;PHT 150KV TAMBUN#2;RST;7SL87;Line Current Differential (87L) + Distance (21) + Autorecloser (79);PLN_OPERASI
-;GIS 150KV NEW TAMBUN;TRENCH;1700623;13351855555500000023;5b1874c4-df84-4cf9-8a4e-5d2b7f0d9b19;PHT 150KV TAMBUN#2;S;IOSK 170;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;TRENCH;1700622;13351855555500000022;f99bfed4-a863-48b9-9f7c-96d9e0a97b66;PHT 150KV TAMBUN#2;R;IOSK 170;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;TRENCH;1700624;13351855555500000024;85955afa-28a5-4504-a85e-6cf2ff6b4453;PHT 150KV TAMBUN#2;T;IOSK 170;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31230;13351855555500000021;e8c6afde-ade4-46b4-8747-f58d233422a2;PHT 150KV TAMBUN#2;T;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31229;13351855555500000019;d61c1c45-3d72-4bf8-af2d-b4fb0bcc02ad;PHT 150KV TAMBUN#2;R;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31231;13351855555500000020;238eed4f-1994-4805-af31-47435c72c2f1;PHT 150KV TAMBUN#2;S;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1707007773;TO351855555500000003;7c1e8451-5de1-49c5-a7b9-f845236eebe0;IBT#1 500/150KV (LV);RST;7VK87;CB Failure (50 BF)+Short Zone Protection (51 SZP);PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;K 31 270 482 R;14351855555500000031;f8f9ee64-cb98-4b5f-a456-c22ac27a2528;IBT#1 500/150KV (LV);RST;8DN9;Circuit Breaker;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1707008565;54351855555500000014;8309964c-3f56-4cb3-8068-947bc76bd723;IBT#1 500/150KV (LV);RST;7SJ82;Over Current Relay;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;ESITAS;2017/P16973;13351855555500000067;667330c1-021e-4363-9505-92b625fdf745;IBT#1 500/150KV (LV);N;KATH;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31251;13351855555500000050;cb75fe14-8917-4886-933e-2a124968539d;IBT#1 500/150KV (LV);S;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31250;13351855555500000049;44fe85f7-7b17-49fb-afe5-3656737f6da3;IBT#1 500/150KV (LV);R;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31252;13351855555500000051;9f3b5d97-1109-4074-960d-0362099be85e;IBT#1 500/150KV (LV);T;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1702004762;TR351855555500000001;b364c2ab-04b7-413f-aa2f-eb1d2c947c0a;PHT 150KV JATIWARINGIN#1;RST;7SL87;Line Current Differential (87L) + Distance (21) + Autorecloser (79);PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1608008119;54351855555500000004;dacbaac2-169a-4a02-9135-c9f3bf3fd84d;PHT 150KV JATIWARINGIN#1;RST;7SJ82;Over Current Relay;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;SIEMENS;BM1609001182;TO351855555500000005;9902e0a8-8365-436a-8fc0-9e426a2fa178;PHT 150KV JATIWARINGIN#1;RST;7VK87;CB Failure (50 BF)+Short Zone Protection (51 SZP);PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31228;13351855555500000001;a49a55e9-3da2-4e41-85e0-f098bb6901e0;PHT 150KV JATIWARINGIN#1;R;702731;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;NANJING ZHIDA ELECTRIC CO., Ltd;2017/31227;13351855555500000002;bbfd73b2-7828-4a67-b8b2-4067134b8141;PHT 150KV JATIWARINGIN#1;S;702731;Current Transformer;PLN_OPERASI
